route_id,service_id,agency_id,route_sort_order,route_short_name,route_long_name,route_service_name,route_desc,checkin_duration,route_type,route_url,route_color,route_text_color,bikes_allowed
10615,108,MMT,1,A,,1-SUN PRAIRIE/2-AMERICAN CENTER:JUNCTION,Monday thru Saturday daytime schedule trips operate at least every 15 minutes. Evening and all-day Sunday/Holiday schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-a,EE3325,FFFFFF,1
10616,108,MMT,2,B,,NORTHPORT:FITCHBURG,Monday thru Saturday daytime schedule trips operate at least every 15 minutes. Evening and all-day Sunday/Holiday schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-b,80BC00,FFFFFF,1
10617,108,MMT,3,C,,1-SPRECHER/2-BUCKEYE:U.W. HOSPITAL,Weekday daytime schedule trips operate at least every 15 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-c,333366,FFFFFF,1
10618,108,MMT,4,D,,1-SPRECHER/2-AIRPORT:1-JUNCTION/2-MCKEE,Weekday daytime schedule trips operate at least every 15 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-d,333366,FFFFFF,1
10619,108,MMT,5,E,,SQUARE:MCKEE,Weekday daytime schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 60 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-e,2272B5,FFFFFF,1
10620,108,MMT,6,F,,SHEBOYGAN/SQUARE:JUNCTION,Daily schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips do not operate between Sheboygan and Square.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-f,333366,FFFFFF,1
10621,108,MMT,7,G,,EAST TOWNE:SOUTH TRANSFER,Daily schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-g,333366,FFFFFF,1
10622,108,MMT,8,H,,SOUTH TRANSFER:WEST TOWNE,Daily schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-h,333366,FFFFFF,1
10623,108,MMT,10,J,,BROOKS:WEST TOWNE,Weekday daytime schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips operate at least every 60 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-j,2272B5,FFFFFF,1
10624,108,MMT,12,L,,CHEROKEE:OWL CREEK,Daily schedule trips operate at least every 75 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-l,46AAD1,FFFFFF,1
10625,108,MMT,15,O,,BROOKS:ERIN/SOUTH TRANSFER,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate at least every 30 minutes between Brooks and Erin.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-o,2272B5,FFFFFF,1
10626,108,MMT,16,P,,HAYES:EAST TOWNE,Daily schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-p,333366,FFFFFF,1
10627,108,MMT,18,R,,U.W. HOSPITAL/SQUARE:1-JUNCTION/2-SOUTH RIDGE,Daily schedule trips operate at least every 30 minutes. Evening and all-day Weekend/Holiday schedule trips do not operate between UW Hospital and Square.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-r,333366,FFFFFF,1
10628,108,MMT,19,S,,DOWNTOWN:SUN PRAIRIE,Daily schedule trips operate at least every 60 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-s,2272B5,FFFFFF,1
10629,108,MMT,23,W,,WEST MAIN:SUN PRAIRIE,Weekday daytime schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-w,46AAD1,FFFFFF,1
10600,108,MMT,28,28,,SHERMAN:UNIVERSITY ROW,Weekday schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-28,46AAD1,FFFFFF,1
10601,108,MMT,38,38,,JENIFER:UNIVERSITY ROW,Weekday schedule trips operate at least every 30 minutes.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,46AAD1,FFFFFF,1
10602,108,MMT,55,55,,JUNCTION:EPIC CAMPUS,Weekday peak hour schedule trips operate at least every 40 minutes both directions in the morning and afternoon.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,46AAD1,FFFFFF,1
10608,108,MMT,65,65,,U.W. HOSPITAL:FITCHBURG,Weekday peak hour schedule trips operate at least every 30 minutes both directions in the morning and afternoon.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-65,46AAD1,FFFFFF,1
10609,108,MMT,75,75,,SQUARE/CADDIS:EPIC CAMPUS,Weekday peak hour schedule trips operate at least every 40 minutes both directions in the morning and afternoon. Additional weekday peak hour trips operate at least every 30 minutes between Caddis and Epic.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,46AAD1,FFFFFF,1
10610,108,MMT,80,80,,U.W. CAMPUS:MEMORIAL UNION,Daily schedule trips operate at least every 50 minutes. Additional weekday schedule trips operate at least every 15 minutes from approximately 7 AM until 6 PM. Limited trips operate on Holidays.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,2272B5,FFFFFF,1
10611,108,MMT,81,81,,EAST JOHNSON:MEMORIAL UNION,Daily schedule trips operate regularly every 30 minutes from approximately 6 PM until 2 AM. No trips operate during Campus Recess or on Holidays.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-81,46AAD1,FFFFFF,1
10612,108,MMT,82,82,,OBSERVATORY:MEMORIAL UNION,Daily schedule trips operate regularly every 30 minutes from approximately 6 PM until 2 AM. No trips operate during Campus Recess or on Holidays.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-82,46AAD1,FFFFFF,1
10613,108,MMT,84,84,,EAGLE HEIGHTS:U.W. CAMPUS,Weekday schedule trips operate at least every 30 minutes from approximately 4 PM until 7 PM. Additional weekday schedule trips operate on Standard service days only from approximately 9 AM until 4 PM. No trips operate on Holidays.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,46AAD1,FFFFFF,1
10603,108,MTS,90,60,,EAST HIGH:NORTH MADISON,Weekday schedule trips operate limited service from approximately 7 AM until 8 AM and 2 PM until 5 PM. No trips operate during Public School Recess or on Public School Holidays.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-60,520298,FFFFFF,1
10604,108,MTS,91,61,,LAFOLLETTE HIGH:EAST MADISON,Weekday schedule trips operate limited service from approximately 7 AM until 8 AM and 2 PM until 5 PM. No trips operate during Public School Recess or on Public School Holidays.,180,3,http://www.cityofmadison.com/metro/routes-schedules/route-61,951F20,FFFFFF,1
