stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
435,0435,W Johnson at N Lake,This stop (#0435) is eastbound on the 699 block of W Johnson after N Lake,43.071921,-89.397094,MMT,CMAD,0,,1,90,1,W Johnson,699,N Lake
670,0670,University at N Lake,This stop (#0670) is westbound on the 700 block of University after N Lake,43.073336,-89.397994,MMT,CMAD,0,,1,270,1,University,700,N Lake
1107,1107,E Washington at S Second,This stop (#1107) is eastbound on the 1999 block of E Washington before S Second,43.09369,-89.35699,MMT,CMAD,0,,3,90,1,E Washington,1999,S Second
1164,1164,E Washington at Aberg,This stop (#1164) is westbound on the 3098 block of E Washington after Aberg,43.106465,-89.340021,MMT,CMAD,0,,1,270,1,E Washington,3098,Aberg
1233,1233,E Washington at S Sixth,This stop (#1233) is eastbound on the 2401 block of E Washington after S Sixth,43.098458,-89.350651,MMT,CMAD,0,,1,90,1,E Washington,2401,S Sixth
1323,1323,E Washington at S Webster,This stop (#1323) is eastbound on the 201 block of E Washington after S Webster,43.076331,-89.381475,MMT,CMAD,0,,1,90,1,E Washington,201,S Webster
1382,1382,E Washington at N Second,This stop (#1382) is westbound on the 1998 block of E Washington after N Second,43.093851,-89.357484,MMT,CMAD,0,,1,270,1,E Washington,1998,N Second
1412,1412,E Washington at Yahara,This stop (#1412) is westbound on the 1850 block of E Washington adjacent Yahara River,43.090111,-89.3626,MMT,CMAD,0,,2,270,1,E Washington,1850,Yahara
1513,1513,E Washington at Yahara,This stop (#1513) is eastbound on the 1851 block of E Washington adjacent Yahara River,43.089771,-89.362415,MMT,CMAD,0,,2,90,1,E Washington,1851,Yahara
1618,1618,E Washington at N Webster,This stop (#1618) is westbound on the 198 block of E Washington after N Webster,43.076009,-89.382488,MMT,CMAD,0,,1,270,1,E Washington,198,N Webster
1757,1757,E Washington at Aberg,This stop (#1757) is eastbound on the 3099 block of E Washington before Aberg,43.106375,-89.339477,MMT,CMAD,0,,3,90,1,E Washington,3099,Aberg
1846,1846,E Washington at N Sixth,This stop (#1846) is westbound on the 2398 block of E Washington after N Sixth,43.098298,-89.351552,MMT,CMAD,0,,1,270,1,E Washington,2398,N Sixth
2249,2249,S Whitney at South Hill,This stop (#2249) is northbound on the 299 block of S Whitney after South Hill,43.06409,-89.471242,MMT,CMAD,0,,1,0,1,S Whitney,299,South Hill
2266,2266,University at N Blackhawk,This stop (#2266) is westbound on the 3500 block of University after N Blackhawk,43.07544,-89.447041,MMT,VSHO,0,,1,270,1,University,3500,N Blackhawk
2282,2282,Sheboygan at N Whitney,This stop (#2282) is westbound on the 5098 block of Sheboygan before N Whitney,43.073197,-89.467211,MMT,CMAD,0,,3,270,1,Sheboygan,5098,N Whitney
2392,2392,University at Capital,This stop (#2392) is southbound on the 5601 block of University before Capital,43.08442,-89.477948,MMT,CMAD,0,,3,180,1,University,5601,Capital
2397,2397,Sheboygan at N Whitney,This stop (#2397) is eastbound on the 5099 block of Sheboygan after N Whitney,43.072937,-89.467125,MMT,CMAD,0,,1,90,1,Sheboygan,5099,N Whitney
2567,F267,N Rosa at Old Middleton,This flag stop (#F267) is northbound on the 699 block of N Rosa before Old Middleton,43.07476,-89.477842,MTS,CMAD,0,,3,0,1,N Rosa,699,Old Middleton
